sha,title,reason,type,confidence,commit_url,pr_url,repo_id,repo_name,full_name
0963e8d016e70cbdbe8120f603688205dc14f5e5,Fix test dependencies by updating to Java 17 and manually implementing Lombok methods,"The commit primarily addresses and removes unwanted dependencies, specifically Lombok and problematic plugin repositories, to resolve test execution issues and ensure compatibility with Java 17. This indicates the main motivation is to fix dependency-related problems.",dependency,9,https://github.com/alex-baker-cdm/library_demo/commit/0963e8d016e70cbdbe8120f603688205dc14f5e5,https://github.com/alex-baker-cdm/library_demo/pull/3,1020350895.0,alex-baker-cdm/library_demo,alex-baker-cdm/library_demo
b55504d4867589044e018173932a5a2e8dc8021d,feat: add Swagger annotations to Batch 4 - System Administration,"The commit primarily involves adding and modifying Swagger annotations to improve the documentation and clarity of the code, which enhances code readability and understanding for developers and users of the API.",readability,8,https://github.com/dotCMS/core/commit/b55504d4867589044e018173932a5a2e8dc8021d,https://github.com/dotCMS/core/pull/32659,3729629.0,dotCMS/core,dotCMS/core
61e7f81e4ace04c50ccafeb5fc5094ac7b7e7a7a,feat: add Swagger annotations to Batch 7 - Modern APIs & Specialized Services,"The commit primarily involves adding and modifying annotations to improve the documentation and clarity of the code, which enhances the understandability and readability of the codebase without changing its logic or structure significantly.",readability,8,https://github.com/dotCMS/core/commit/61e7f81e4ace04c50ccafeb5fc5094ac7b7e7a7a,https://github.com/dotCMS/core/pull/32662,3729629.0,dotCMS/core,dotCMS/core
976be40a7576dcb073c052b904165ae45ad58cd3,feat: add Swagger annotations to Batch 6 - Rules Engine & Business Logic,"The commit primarily involves adding and modifying Swagger annotations to improve the documentation and clarity of the code, which enhances the readability and understandability of the codebase.",readability,8,https://github.com/dotCMS/core/commit/976be40a7576dcb073c052b904165ae45ad58cd3,https://github.com/dotCMS/core/pull/32661,3729629.0,dotCMS/core,dotCMS/core
2dc53b4c82247ea9a55c4cadfbfa1de20210c539,feat: add Swagger annotations to Batch 6 - Rules Engine & Business Logic,"The commit primarily adds and modifies Swagger annotations extensively, which improves the documentation and clarity of the code, making it easier to understand and maintain. This directly addresses readability by enhancing how the code is presented and understood by developers and tools.",readability,8,https://github.com/dotCMS/core/commit/2dc53b4c82247ea9a55c4cadfbfa1de20210c539,https://github.com/dotCMS/core/pull/32661,3729629.0,dotCMS/core,dotCMS/core
d921cf52c70d6f3403f1555855aa001267fe2b72,Improve Java compiler with data class inference,"The commit involves extensive type changes and method inlining, which are typical refactorings aimed at improving code structure and maintainability rather than fixing logic or performance issues. The large-scale refactoring suggests an effort to make the codebase easier to maintain and evolve.",maintainability,8,https://github.com/mochilang/mochi/commit/d921cf52c70d6f3403f1555855aa001267fe2b72,https://github.com/mochilang/mochi/pull/7720,985853139.0,mochilang/mochi,mochilang/mochi
ce3bed24d1567baab41dafcb4a415c1af06f657b,feat: add Swagger annotations to Batch 4 - System Administration,"The commit primarily adds and modifies Swagger annotations extensively, which improves the documentation and clarity of the code, thereby enhancing its readability and understandability.",readability,8,https://github.com/dotCMS/core/commit/ce3bed24d1567baab41dafcb4a415c1af06f657b,https://github.com/dotCMS/core/pull/32659,3729629.0,dotCMS/core,dotCMS/core
6947d76291bbc4057625c367785fc2abf4945a79,feat: add Swagger annotations to Batch 6 - Rules Engine & Business Logic,"The commit primarily adds and modifies annotations to improve the documentation and clarity of the code, which enhances the understandability and readability of the codebase without changing its logic or structure.",readability,8,https://github.com/dotCMS/core/commit/6947d76291bbc4057625c367785fc2abf4945a79,https://github.com/dotCMS/core/pull/32661,3729629.0,dotCMS/core,dotCMS/core
3f6d40fe8eb327e4ba2e500fb3ac9578857301ea,Converting engine-rest test to JUnit 5.,"The commit focuses on converting tests to a newer testing framework (JUnit 5) and creating a new TestContainerExtension to replace an older rule, which improves the structure and approach to testing. This indicates the primary motivation is to improve the testability of the codebase by making tests easier to write, maintain, and run with modern tools.",testability,9,https://github.com/operaton/operaton/commit/3f6d40fe8eb327e4ba2e500fb3ac9578857301ea,https://github.com/operaton/operaton/pull/903,873235545.0,operaton/operaton,operaton/operaton
a15fad8a0e655af0152feab460c144d42d3b3be4,Update Java machine outputs,"The commit involves extensive type changes and renaming, which likely improves code clarity and understanding by making types and class names more appropriate and consistent, thus enhancing readability.",readability,8,https://github.com/mochilang/mochi/commit/a15fad8a0e655af0152feab460c144d42d3b3be4,https://github.com/mochilang/mochi/pull/9222,985853139.0,mochilang/mochi,mochilang/mochi
652853b1dcd242d080855eda0983b8a62a845e4c,Introduce service interfaces,"The commit introduces service interfaces and performs extensive refactoring such as changing types, extracting classes and subclasses, moving methods and attributes, and renaming variables and parameters. These changes primarily aim to improve the structure and modularity of the code, making it easier to maintain and evolve. The focus on refactoring and reorganizing code elements suggests the primary motivation is to enhance maintainability rather than addressing readability, duplication, or other issues.",maintainability,9,https://github.com/Edwseth/clemen-integra-inventario/commit/652853b1dcd242d080855eda0983b8a62a845e4c,https://github.com/Edwseth/clemen-integra-inventario/pull/13,975776640.0,Edwseth/clemen-integra-inventario,Edwseth/clemen-integra-inventario
8ad706e104ca26715b9b76ab9c64154baab516a5,Update Java Rosetta outputs,"The commit involves extensive type changes, method moves, renaming, and class extraction, which primarily improve the structure and organization of the code to make it easier to maintain and evolve. These changes do not directly address performance, testing, or logical correctness but focus on improving the maintainability of the codebase.",maintainability,9,https://github.com/mochilang/mochi/commit/8ad706e104ca26715b9b76ab9c64154baab516a5,https://github.com/mochilang/mochi/pull/9578,985853139.0,mochilang/mochi,mochilang/mochi
f21358395baf8adb9fc1355e4f526295b5e6be85,Migrate concurrency tests to JUnit 5,"The commit focuses on refactoring tests to migrate from JUnit4 to JUnit5, which improves the test framework and likely makes the tests easier to write and maintain. This primarily addresses the difficulty of testing code without refactoring, improving testability.",testability,8,https://github.com/ArneDeutsch/operaton/commit/f21358395baf8adb9fc1355e4f526295b5e6be85,https://github.com/ArneDeutsch/operaton/pull/6,920476445.0,ArneDeutsch/operaton,ArneDeutsch/operaton
af50ec9436e9477ab6b5a150ebd17a37f6a14ddc,Building MergeEats with Cursor AI,"The commit involves extensive refactoring including renaming, changing types, and modifying annotations, which primarily improves the clarity and understandability of the code. These changes enhance the code's readability by making names and types more descriptive and consistent, rather than addressing performance, duplication, or logical issues.",readability,9,https://github.com/badhusha618/MergeEats/commit/af50ec9436e9477ab6b5a150ebd17a37f6a14ddc,https://github.com/badhusha618/MergeEats/pull/1,1026021129.0,badhusha618/MergeEats,badhusha618/MergeEats
32d779a2849b6f99ac14c50d33df683a7813d687,Add new inventory items,"The commit involves extensive refactoring such as changing attribute types, moving and renaming methods and attributes, extracting classes and variables, and modifying access modifiers. These changes primarily improve the structure and organization of the codebase, which enhances maintainability by making the code less fragile and easier to manage in the future.",maintainability,9,https://github.com/rhum0ne/Worldcraft/commit/32d779a2849b6f99ac14c50d33df683a7813d687,https://github.com/rhum0ne/Worldcraft/pull/26,856962840.0,rhum0ne/Worldcraft,rhum0ne/Worldcraft
0341e32bc0f2dcbd02cd3af9f46d0605450f2394,Update Java Rosetta outputs,"The commit involves extensive type changes, method moves, and refactoring such as extracting classes and renaming variables, which primarily improve the structure and organization of the code to make it easier to maintain and evolve over time. These changes do not directly address performance, duplication, or testing difficulties but focus on improving the maintainability of the codebase.",maintainability,8,https://github.com/mochilang/mochi/commit/0341e32bc0f2dcbd02cd3af9f46d0605450f2394,https://github.com/mochilang/mochi/pull/8898,985853139.0,mochilang/mochi,mochilang/mochi
da0fa2ab38c66845ae6881885a03d23362e4b66d,feat: add Swagger annotations to Batch 6 - Rules Engine & Business Logic,"The commit primarily adds and modifies Swagger annotations to improve the documentation and clarity of the code, which enhances the readability and understandability of the codebase without changing its logic or structure.",readability,8,https://github.com/dotCMS/core/commit/da0fa2ab38c66845ae6881885a03d23362e4b66d,https://github.com/dotCMS/core/pull/32661,3729629.0,dotCMS/core,dotCMS/core
ac2a114e0120f5dfd831948809e897a8dc2c1d8a,feat: add Swagger annotations to Batch 4 - System Administration,"The commit primarily adds and modifies Swagger annotations to improve the documentation and clarity of the code, which enhances the readability and understandability of the codebase.",readability,8,https://github.com/dotCMS/core/commit/ac2a114e0120f5dfd831948809e897a8dc2c1d8a,https://github.com/dotCMS/core/pull/32659,3729629.0,dotCMS/core,dotCMS/core
117a9f7d7e2429f78e278b423428a46710fe62af,chore(test): Migrate ldap plugin tests to junit5.,"The commit focuses on migrating tests to a newer testing framework (JUnit5), which typically improves the ability to write and maintain tests. This migration addresses difficulties in testing the code without refactoring, enhancing testability.",testability,9,https://github.com/operaton/operaton/commit/117a9f7d7e2429f78e278b423428a46710fe62af,https://github.com/operaton/operaton/pull/1001,873235545.0,operaton/operaton,operaton/operaton
8f4fa1a1198c67e306b0fdb22323a8a97fec8a2e,add verbose field to discord config,"The commit involves extensive type changes and refactoring operations to improve the code structure, which primarily enhances maintainability by making the codebase easier to manage and less fragile.",maintainability,8,https://github.com/GrimAnticheat/Grim/commit/8f4fa1a1198c67e306b0fdb22323a8a97fec8a2e,https://github.com/GrimAnticheat/Grim/pull/2138,341052382.0,GrimAnticheat/Grim,GrimAnticheat/Grim
77067419df628053d0b96c38b52568135a8022d0,Building MergeEats with Cursor AI,"The commit involves extensive refactoring including renaming, extracting classes and methods, changing types, and modifying annotations, all aimed at improving the structure and organization of the codebase. These changes primarily enhance the maintainability of the code by making it more modular, clear, and easier to manage in the future.",maintainability,9,https://github.com/badhusha618/MergeEats/commit/77067419df628053d0b96c38b52568135a8022d0,https://github.com/badhusha618/MergeEats/pull/1,1026021129.0,badhusha618/MergeEats,badhusha618/MergeEats
97620888fc9fa40eb3374bcdff2a8bf1a7616867,Documentación,"The commit primarily adds annotations and renames elements to improve documentation, which enhances the understandability and clarity of the code, directly addressing readability issues.",readability,9,https://github.com/CodigoCreativoUTEC/backendPFT/commit/97620888fc9fa40eb3374bcdff2a8bf1a7616867,https://github.com/CodigoCreativoUTEC/backendPFT/pull/22,882041613.0,CodigoCreativoUTEC/backendPFT,CodigoCreativoUTEC/backendPFT
23507a1d9754fbb12c216240b6c5a220def570e8,feat: add Swagger annotations to Batch 6 - Rules Engine & Business Logic,"The commit primarily adds and modifies Swagger annotations to improve the documentation and clarity of the code, which enhances the readability and understandability of the codebase.",readability,8,https://github.com/dotCMS/core/commit/23507a1d9754fbb12c216240b6c5a220def570e8,https://github.com/dotCMS/core/pull/32661,3729629.0,dotCMS/core,dotCMS/core
87fc2b21482ce5c9519166c787945739bb892fcc,Building MergeEats with Cursor AI,"The commit involves extensive renaming and annotation changes, as well as method and variable extraction and inlining, which primarily improve the clarity and understandability of the code. These changes enhance the code's readability by making names and types more descriptive and consistent.",readability,9,https://github.com/badhusha618/MergeEats/commit/87fc2b21482ce5c9519166c787945739bb892fcc,https://github.com/badhusha618/MergeEats/pull/1,1026021129.0,badhusha618/MergeEats,badhusha618/MergeEats
13ed3dd98332d1d7261fce571196c2457d26c541,feat(swagger): Add Swagger annotations to Batch 1 - Core Authentication & User Management,"The commit primarily adds and modifies Swagger annotations extensively, which improves the understandability and documentation of the code, thereby enhancing readability. The refactoring operations such as extracting methods and variables, renaming methods, and inverting conditions also contribute to making the code easier to read and understand. There is no indication of addressing duplication, performance, dependencies, or legacy code specifically.",readability,8,https://github.com/dotCMS/core/commit/13ed3dd98332d1d7261fce571196c2457d26c541,https://github.com/dotCMS/core/pull/32656,3729629.0,dotCMS/core,dotCMS/core
b68f87285d73407ee76d4a7cca02455006248fca,feat: add Swagger annotations to Batch 4 - System Administration,"The commit primarily involves adding and modifying Swagger annotations to improve the documentation and clarity of the code, which enhances code readability and understanding for developers and users of the API.",readability,8,https://github.com/dotCMS/core/commit/b68f87285d73407ee76d4a7cca02455006248fca,https://github.com/dotCMS/core/pull/32659,3729629.0,dotCMS/core,dotCMS/core
f674786aa3211057373f473a5ff034c47f0b3b07,Documentación,"The commit involves extensive refactoring such as renaming variables and methods, extracting and merging methods, changing access modifiers, and moving code to beans. These changes aim to improve the structure and organization of the code, making it easier to maintain and less fragile. The focus on passing logic to beans and fixing tests also supports maintainability improvements.",maintainability,8,https://github.com/CodigoCreativoUTEC/backendPFT/commit/f674786aa3211057373f473a5ff034c47f0b3b07,https://github.com/CodigoCreativoUTEC/backendPFT/pull/22,882041613.0,CodigoCreativoUTEC/backendPFT,CodigoCreativoUTEC/backendPFT
